query	lat	lon	lat_min	lat_max	lon_min	lon_max	human_check
interlake-eastern, mb, canada	50.1327525	-97.32702683	50.1326905	50.1329314	-97.3272889	-97.3268439	none
regina, sk, canada	50.44876	-104.61731	50.3964112	50.5207302	-104.7781055	-104.492066	none
calgary, ab, canada	51.0534234	-114.0625892	50.842526	51.2125013	-114.3157587	-113.8600018	none
island bc, bc, canada	51.2985318	-116.9644898	51.2984276	51.2986859	-116.9646498	-116.9642935	none
outside qu??bec, qc, canada	51.4535756	-57.13276474	51.4526481	51.4545383	-57.1338616	-57.1314007	none
northwestern, on, canada	51.9676592	-88.8446356	47.0794119	56.8593635	-95.1537399	-81.4802554	none
saskatoon, sk, canada	52.131802	-106.660767	51.971802	52.291802	-106.820767	-106.500767	none
outside qu?ec, qc, canada	52.4760892	-71.8258668	44.9913689	62.5804863	-79.774135	-57.1054864	none
qc, canada	52.4760892	-71.8258668	44.9913689	62.5804863	-79.774135	-57.1054864	none
to be determined, qc, canada	52.4760892	-71.8258668	44.9913689	62.5804863	-79.774135	-57.1054864	none
rc, canada	53.05360405	-93.32929008	53.0505463	53.0567006	-93.3342114	-93.3258214	none
south ab, ab, canada	53.3230311	-113.0465404	53.3212707	53.3230311	-113.0472291	-113.0437865	none
north ab, ab, canada	53.5153541	-112.9147281	53.5134751	53.5169727	-112.9183688	-112.9108647	none
edmonton, ab, canada	53.535411	-113.507996	53.3372558	53.7162646	-113.7138411	-113.2714783	none
central ab, ab, canada	53.5409272	-113.4904602	53.5408772	53.5409772	-113.4905102	-113.4904102	none
nl, canada	53.8217327	-61.2295532	46.604663	60.3777064	-67.8216853	-52.6127655	none
not disclosed, nl, canada	53.8217327	-61.2295532	46.604663	60.3777064	-67.8216853	-52.6127655	none
northern bc, bc, canada	54.4422735	-124.2559585	54.4421082	54.4424388	-124.2561491	-124.2557679	none
bc, canada	55.001251	-125.002441	48.2245556	60.0023	-139.0536706	-114.0541379	none
not disclosed, bc, canada	55.001251	-125.002441	48.2245556	60.0023	-139.0536706	-114.0541379	none
, bc, canada	55.001251	-125.002441	48.2245556	60.0023	-139.0536706	-114.0541379	none
, ab, canada	55.001251	-115.002136	48.9966667	60.0004216	-120.0013835	-110.0047639	none
, mb, canada	55.001251	-97.001038	48.9988611	59.99926	-102.0076115	-88.9908162	none
mb, canada	55.001251	-97.001038	48.9988611	59.99926	-102.0076115	-88.9908162	none
northern saskatchewan, sk, canada	55.4384274	-107.8985234	55.4382948	55.43856	-107.8987809	-107.8982659	none
sk, canada	55.5321257	-106.1412243	48.9988056	59.99982	-110.0063652	-101.3619076	none
interior, bc, canada	57.865575	-126.862424	49.460654	49.460754	-125.5738566	-125.5737566	none
fraser, bc, canada	49.15061	-121.840714	NA	NA	NA	NA	Howard - approximate
